"RK_name","RK_PK","RK_TM","RK_PLAYER","RK_COLLEGE","RK_YRS","RK_G","RK_MP","RK_PTS","RK_TRB","RK_AST","RK_FG","RK_THREE_P","RK_FT","RK_WS","RK_WS_","RK_BPM","RK_VORP"
"1","1","CLE","Andrew Wiggins","Kansas","6","454","35.8","19.7","4.4","2.3",".441",".332",".732","15.0",".044","-1.9","0.2"
"2","2","MIL","Jabari Parker","Duke","6","285","29.0","14.9","5.7","2.1",".493",".324",".740","13.2",".077","-0.8","2.4"
"3","3","PHI","Joel Embiid","Kansas","4","209","30.4","23.9","11.5","3.1",".480",".319",".793","22.8",".172","4.3","10.1"
"4","4","ORL","Aaron Gordon","Arizona","6","403","28.6","12.8","6.4","2.4",".448",".319",".701","21.7",".090","0.0","5.7"
"5","5","UTA","Dante Exum","","5","239","18.5","5.7","1.8","2.1",".407",".308",".766","3.1",".034","-3.3","-1.5"
"6","6","BOS","Marcus Smart","Oklahoma State","6","401","28.9","9.9","3.6","4.1",".373",".318",".775","20.7",".086","-0.3","5.0"
"7","7","LAL","Julius Randle","Kentucky","6","375","29.2","16.1","9.0","2.8",".493",".295",".724","20.5",".090","-0.5","4.1"
"8","8","SAC","Nik Stauskas","Michigan","5","335","19.9","6.8","2.1","1.5",".389",".353",".814","3.8",".028","-3.0","-1.7"
"9","9","CHH","Noah Vonleh","Indiana","6","335","16.9","5.0","5.2","0.8",".460",".310",".691","9.3",".079","-2.4","-0.5"
"10","10","PHI","Elfrid Payton","LA-Lafayette","6","387","29.3","11.0","4.4","6.6",".452",".289",".625","14.9",".063","-0.5","4.3"
"11","11","DEN","Doug McDermott","Creighton","6","410","19.9","8.2","2.2","0.8",".465",".412",".825","13.9",".082","-2.0","-0.1"
"12","12","ORL","Dario Šarić","","4","306","26.5","12.2","6.2","2.1",".441",".358",".837","14.7",".087","-0.7","2.6"
"13","13","MIN","Zach LaVine","UCLA","6","353","30.8","17.7","3.6","3.6",".447",".375",".819","12.0",".053","-0.6","3.8"
"14","14","PHO","T.J. Warren","NC State","6","328","28.8","15.5","4.1","1.2",".507",".361",".779","19.5",".099","-0.2","4.3"
"15","15","ATL","Adreian Payne","Michigan State","4","107","13.1","4.0","2.9","0.6",".406",".254",".680","-0.6","-.019","-5.9","-1.4"
"16","16","CHI","Jusuf Nurkić","","6","318","23.1","11.8","8.1","2.0",".492",".096",".673","17.3",".113","0.3","4.2"
"17","17","BOS","James Young","Kentucky","4","95","8.5","2.3","1.0","0.3",".367",".277",".563","0.8",".046","-3.4","-0.3"
"18","18","PHO","Tyler Ennis","Syracuse","4","186","12.6","4.2","1.3","1.9",".419",".317",".768","1.3",".026","-3.4","-0.8"
"19","19","CHI","Gary Harris","Michigan State","6","368","29.0","12.1","2.6","2.1",".454",".360",".803","17.9",".081","-0.9","2.9"
"20","20","TOR","Bruno Caboclo","","6","99","12.7","4.3","2.6","0.7",".400",".316",".846","1.5",".058","-2.5","-0.2"
"21","21","OKC","Mitch McGary","Michigan","2","52","10.7","4.4","3.5","0.3",".527",".000",".580","1.3",".108","-2.6","-0.1"
"22","22","MEM","Jordan Adams","UCLA","2","32","8.2","3.2","0.9","0.6",".402",".385",".607","0.4",".070","1.7","0.2"
"23","23","UTA","Rodney Hood","Duke","6","341","27.3","12.5","2.9","1.9",".426",".372",".839","17.1",".088","-0.5","3.4"
"24","24","CHH","Shabazz Napier","UConn","6","345","17.4","7.1","1.9","2.5",".397",".345",".815","8.1",".065","-0.7","2.0"
